seq,host_time,device,point,quality,value,reason
1,2026-09-15 23:33:57.975,IM-01,im01.statusWord,Good,1,
2,2026-09-15 23:33:57.975,GW-LINE-B,mtc01.ready,Good,True,
3,2026-09-15 23:33:57.976,EM-01,em01.totalEnergy,Good,3383.75,
4,2026-09-15 23:33:57.976,IM-01,im01.alarmCode,Good,0,
5,2026-09-15 23:33:57.977,GW-LINE-B,mtc01.heating,Good,False,
6,2026-09-15 23:33:57.977,EM-01,em01.forwardEnergy,Good,3383.75,
7,2026-09-15 23:33:57.977,EM-01,em01.voltageA,Good,375,
8,2026-09-15 23:33:57.977,ENV-01,env01.roomTemp,Good,24.2,
9,2026-09-15 23:33:57.979,GW-LINE-B,mtc01.actualTemp,Good,99.3,
10,2026-09-15 23:33:57.979,GW-LINE-B,mtc01.returnTemp,Good,95,
11,2026-09-15 23:33:57.979,GW-LINE-B,mtc01.pumpPressure,Good,0,
12,2026-09-15 23:33:57.979,IM-01,im01.totalMolds,Good,2,
13,2026-09-15 23:33:57.979,EM-01,em01.voltageB,Good,381,
14,2026-09-15 23:33:57.979,EM-01,em01.voltageC,Good,383,
15,2026-09-15 23:33:57.979,IM-01,im01.goodParts,Good,2,
16,2026-09-15 23:33:57.979,IM-01,im01.rejectParts,Good,0,
17,2026-09-15 23:33:57.979,EM-01,em01.currentA,Good,122.4,
18,2026-09-15 23:33:57.979,EM-01,em01.activePower,Good,101,
19,2026-09-15 23:33:57.979,IM-01,im01.cycleTime,Good,40.5,
20,2026-09-15 23:33:57.979,EM-01,em01.reactivePower,Good,26,
21,2026-09-15 23:33:57.979,EM-01,em01.powerFactor,Good,0.886,
22,2026-09-15 23:33:57.979,IM-01,im01.avgCycleTime,Good,37.7,
23,2026-09-15 23:33:57.979,EM-01,em01.frequency,Good,49.95,
24,2026-09-15 23:33:57.979,EM-01,em01.alarmCode,Good,0,
25,2026-09-15 23:33:57.979,IM-01,im01.oee,Good,10,
26,2026-09-15 23:33:57.979,EM-01,em01.demand,Good,101,
27,2026-09-15 23:33:57.979,IM-01,im01.stage,Good,0,
28,2026-09-15 23:33:57.979,EM-01,em01.energyF64,Good,34.3538888888888,
29,2026-09-15 23:33:57.979,EM-01,em01.unbalance,Good,2.105263,
30,2026-09-15 23:33:57.979,EM-01,em01.energyDual,Good,0,
31,2026-09-15 23:33:57.979,GW-LINE-B,mtc01.pumpFlow,Good,0,
32,2026-09-15 23:33:57.979,GW-LINE-B,mtc01.pumpCurrent,Good,0,
33,2026-09-15 23:33:57.979,GW-LINE-B,mtc01.heatPower,Good,0,
34,2026-09-15 23:33:57.979,GW-LINE-B,mtc01.outletTemp,Good,99.8,
35,2026-09-15 23:33:57.979,GW-LINE-B,mtc01.tempAvg,Good,993.2745,
36,2026-09-15 23:33:57.979,ENV-01,env01.humidity,Good,55,
37,2026-09-15 23:33:57.979,ENV-01,env01.dewPoint,Good,15.3,
38,2026-09-15 23:33:57.979,ENV-01,env01.noise,Good,74,
39,2026-09-15 23:33:57.979,ENV-01,env01.co2,Good,450,
40,2026-09-15 23:33:57.979,ENV-01,env01.pm25,Good,49,
41,2026-09-15 23:33:57.979,ENV-01,env01.pressureDiff,Good,9,
42,2026-09-15 23:33:57.979,ENV-01,env01.illuminance,Good,493,
43,2026-09-15 23:33:57.979,ENV-01,env01.roomTempDual,Good,0,
44,2026-09-15 23:33:57.979,ENV-01,env01.tempFluctuation,Good,13.2743,
45,2026-09-15 23:33:57.979,IM-01,im01.batchNo,Good,2002,
46,2026-09-15 23:33:57.980,IM-01,im01.prodTime,Good,09/15/2026 23:33:57,
47,2026-09-15 23:33:57.981,EM-01,em01.overDemand,Good,False,
48,2026-09-15 23:33:57.981,GW-LINE-B,mtc01.tempDual,Good,0,
49,2026-09-15 23:33:57.982,IM-01,im01.ready,Good,True,
50,2026-09-15 23:33:57.982,IM-01,im01.producing,Good,False,
51,2026-09-15 23:33:57.982,IM-01,im01.faultAlarm,Good,False,
52,2026-09-15 23:33:57.983,GW-LINE-B,mtc01.setTemp,Good,100,
53,2026-09-15 23:33:57.983,EM-01,em01.meterModel,Good,EM-2026-0001,
54,2026-09-15 23:33:57.983,EM-01,em01.readTime,Good,09/15/2026 23:33:57,
55,2026-09-15 23:33:57.984,IM-01,im01.barrel1Temp,Good,191.8,
56,2026-09-15 23:33:57.984,IM-01,im01.barrel5Temp,Good,147.6,
57,2026-09-15 23:33:57.984,IM-01,im01.moldTemp,Good,84.5,
58,2026-09-15 23:33:57.984,IM-01,im01.oilTemp,Good,44.2,
59,2026-09-15 23:33:57.984,IM-01,im01.injectPressure,Good,0,
60,2026-09-15 23:33:57.984,IM-01,im01.injectSpeed,Good,0,
61,2026-09-15 23:33:57.984,IM-01,im01.screwSpeed,Good,0,
62,2026-09-15 23:33:57.984,IM-01,im01.clampPressure,Good,0,
63,2026-09-15 23:33:57.984,IM-01,im01.pumpCurrent,Good,0,
64,2026-09-15 23:33:57.984,IM-01,im01.hydraulicPressure,Good,0,
65,2026-09-15 23:33:57.984,IM-01,im01.power,Good,3,
66,2026-09-15 23:33:57.984,IM-01,im01.meltEnergy,Good,0,
67,2026-09-15 23:33:57.984,IM-01,im01.energyTotal,Good,1.36275000000039,
68,2026-09-15 23:33:57.984,IM-01,im01.moldTempDual,Good,0,
70,2026-09-15 23:33:57.984,ENV-01,env01.highTempAlarm,Good,False,
69,2026-09-15 23:33:57.984,GW-LINE-B,dry01.drying,Good,True,
71,2026-09-15 23:33:57.984,GW-LINE-B,dry01.levelLow,Good,False,
72,2026-09-15 23:33:57.985,IM-01,im01.moldCloseJog,Good,False,
