seq,host_time,device,point,quality,value,reason
1,2026-09-15 23:37:53.921,IM-01,im01.statusWord,Good,1,
2,2026-09-15 23:37:53.921,GW-LINE-B,mtc01.ready,Good,True,
3,2026-09-15 23:37:53.922,IM-01,im01.alarmCode,Good,0,
4,2026-09-15 23:37:53.922,IM-01,im01.totalMolds,Good,2,
5,2026-09-15 23:37:53.922,IM-01,im01.goodParts,Good,2,
6,2026-09-15 23:37:53.922,IM-01,im01.rejectParts,Good,0,
7,2026-09-15 23:37:53.922,GW-LINE-B,mtc01.heating,Good,False,
8,2026-09-15 23:37:53.923,ENV-01,env01.roomTemp,Good,24.1,
9,2026-09-15 23:37:53.923,IM-01,im01.cycleTime,Good,40.5,
10,2026-09-15 23:37:53.923,IM-01,im01.avgCycleTime,Good,37.7,
11,2026-09-15 23:37:53.923,IM-01,im01.oee,Good,10,
12,2026-09-15 23:37:53.923,IM-01,im01.stage,Good,0,
13,2026-09-15 23:37:53.923,EM-01,em01.totalEnergy,Good,4115.19,
14,2026-09-15 23:37:53.923,EM-01,em01.forwardEnergy,Good,4115.19,
15,2026-09-15 23:37:53.923,EM-01,em01.voltageA,Good,384,
16,2026-09-15 23:37:53.923,EM-01,em01.voltageB,Good,385,
17,2026-09-15 23:37:53.923,EM-01,em01.voltageC,Good,379,
18,2026-09-15 23:37:53.923,EM-01,em01.currentA,Good,220.1,
19,2026-09-15 23:37:53.923,EM-01,em01.activePower,Good,113,
20,2026-09-15 23:37:53.923,EM-01,em01.reactivePower,Good,20,
21,2026-09-15 23:37:53.923,EM-01,em01.powerFactor,Good,0.882,
22,2026-09-15 23:37:53.923,EM-01,em01.frequency,Good,49.9,
23,2026-09-15 23:37:53.923,EM-01,em01.alarmCode,Good,0,
24,2026-09-15 23:37:53.923,EM-01,em01.demand,Good,113,
25,2026-09-15 23:37:53.923,EM-01,em01.energyF64,Good,41.7778333333337,
26,2026-09-15 23:37:53.923,EM-01,em01.unbalance,Good,1.578947,
27,2026-09-15 23:37:53.923,EM-01,em01.energyDual,Good,0,
28,2026-09-15 23:37:53.923,IM-01,im01.batchNo,Good,2002,
29,2026-09-15 23:37:53.924,GW-LINE-B,mtc01.actualTemp,Good,99.4,
30,2026-09-15 23:37:53.924,GW-LINE-B,mtc01.returnTemp,Good,95.1,
31,2026-09-15 23:37:53.924,GW-LINE-B,mtc01.pumpPressure,Good,3,
32,2026-09-15 23:37:53.924,GW-LINE-B,mtc01.pumpFlow,Good,30,
33,2026-09-15 23:37:53.924,GW-LINE-B,mtc01.pumpCurrent,Good,4.5,
34,2026-09-15 23:37:53.924,GW-LINE-B,mtc01.heatPower,Good,6,
35,2026-09-15 23:37:53.924,GW-LINE-B,mtc01.outletTemp,Good,99.9,
36,2026-09-15 23:37:53.924,GW-LINE-B,mtc01.tempAvg,Good,993.9003,
37,2026-09-15 23:37:53.924,IM-01,im01.prodTime,Good,09/15/2026 23:37:53,
38,2026-09-15 23:37:53.924,ENV-01,env01.humidity,Good,55,
39,2026-09-15 23:37:53.924,ENV-01,env01.dewPoint,Good,15.3,
40,2026-09-15 23:37:53.924,ENV-01,env01.noise,Good,75,
41,2026-09-15 23:37:53.924,ENV-01,env01.co2,Good,450,
42,2026-09-15 23:37:53.924,ENV-01,env01.pm25,Good,32,
43,2026-09-15 23:37:53.924,ENV-01,env01.pressureDiff,Good,-3,
44,2026-09-15 23:37:53.924,ENV-01,env01.illuminance,Good,363,
45,2026-09-15 23:37:53.924,ENV-01,env01.roomTempDual,Good,0,
46,2026-09-15 23:37:53.924,ENV-01,env01.tempFluctuation,Good,13.1186,
47,2026-09-15 23:37:53.925,EM-01,em01.overDemand,Good,False,
48,2026-09-15 23:37:53.926,GW-LINE-B,mtc01.tempDual,Good,0,
49,2026-09-15 23:37:53.928,GW-LINE-B,mtc01.setTemp,Good,100,
50,2026-09-15 23:37:53.929,IM-01,im01.ready,Good,True,
51,2026-09-15 23:37:53.929,ENV-01,env01.highTempAlarm,Good,False,
52,2026-09-15 23:37:53.929,IM-01,im01.producing,Good,False,
53,2026-09-15 23:37:53.929,IM-01,im01.faultAlarm,Good,False,
54,2026-09-15 23:37:53.932,GW-LINE-B,dry01.drying,Good,True,
55,2026-09-15 23:37:53.932,IM-01,im01.barrel1Temp,Good,191.2,
56,2026-09-15 23:37:53.932,GW-LINE-B,dry01.levelLow,Good,False,
57,2026-09-15 23:37:53.932,IM-01,im01.barrel5Temp,Good,147.6,
58,2026-09-15 23:37:53.932,IM-01,im01.moldTemp,Good,84.5,
59,2026-09-15 23:37:53.932,IM-01,im01.oilTemp,Good,44.4,
60,2026-09-15 23:37:53.932,IM-01,im01.injectPressure,Good,0,
61,2026-09-15 23:37:53.932,IM-01,im01.injectSpeed,Good,0,
62,2026-09-15 23:37:53.932,IM-01,im01.screwSpeed,Good,0,
63,2026-09-15 23:37:53.932,IM-01,im01.clampPressure,Good,0,
64,2026-09-15 23:37:53.932,IM-01,im01.pumpCurrent,Good,0,
65,2026-09-15 23:37:53.932,IM-01,im01.hydraulicPressure,Good,0,
66,2026-09-15 23:37:53.932,IM-01,im01.power,Good,3,
67,2026-09-15 23:37:53.932,IM-01,im01.meltEnergy,Good,0,
68,2026-09-15 23:37:53.932,IM-01,im01.energyTotal,Good,1.5594166666673,
69,2026-09-15 23:37:53.932,IM-01,im01.moldTempDual,Good,0,
70,2026-09-15 23:37:53.933,ENV-01,env01.acSetTemp,Good,24,
71,2026-09-15 23:37:53.935,IM-01,im01.moldCloseJog,Good,False,
72,2026-09-15 23:37:53.935,GW-LINE-B,dry01.dryTemp,Good,79.4,
73,2026-09-15 23:37:53.935,IM-01,im01.start,Good,False,
74,2026-09-15 23:37:53.935,IM-01,im01.stop,Good,False,
75,2026-09-15 23:37:53.935,GW-LINE-B,dry01.dewPoint,Good,-34.4,
76,2026-09-15 23:37:53.935,IM-01,im01.estop,Good,False,
77,2026-09-15 23:37:53.935,GW-LINE-B,dry01.materialLevel,Good,55,
78,2026-09-15 23:37:53.935,ENV-01,env01.runSeconds,Good,13269,
79,2026-09-15 23:37:53.935,GW-LINE-B,dry01.heatPower,Good,5,
80,2026-09-15 23:37:53.935,GW-LINE-B,dry01.fanCurrent,Good,0.8,
81,2026-09-15 23:37:53.935,GW-LINE-B,dry01.inTemp,Good,444,
82,2026-09-15 23:37:53.935,GW-LINE-B,dry01.outTemp,Good,594,
83,2026-09-15 23:37:53.935,ENV-01,env01.sampleTime,Good,09/15/2026 23:37:53,
84,2026-09-15 23:37:53.935,ENV-01,env01.areaName,Good,注塑车间A区,
85,2026-09-15 23:37:53.935,ENV-01,env01.alarmCode,Good,0,
86,2026-09-15 23:37:53.937,GW-LINE-B,dry01.levelDual,Good,0,
87,2026-09-15 23:37:53.937,GW-LINE-B,dry01.levelTrend,Good,-2.910589,
88,2026-09-15 23:37:53.937,IM-01,im01.workMode,Good,3,
89,2026-09-15 23:37:53.937,EM-01,em01.meterModel,Good,EM-2026-0001,
90,2026-09-15 23:37:53.937,IM-01,im01.targetOutput,Good,50000,
91,2026-09-15 23:37:53.937,IM-01,im01.cavitySetTemp,Good,234,
92,2026-09-15 23:37:53.937,EM-01,em01.readTime,Good,09/15/2026 23:37:53,
93,2026-09-15 23:37:53.937,IM-01,im01.moldSetTemp,Good,85,
94,2026-09-15 23:37:53.937,IM-01,im01.holdTime,Good,2.5,
95,2026-09-15 23:37:53.937,IM-01,im01.coolTime,Good,15,
96,2026-09-15 23:37:53.937,IM-01,im01.overTempLimit,Good,260,
97,2026-09-15 23:37:53.937,IM-01,im01.moldTempDualSet,Good,25,
98,2026-09-15 23:37:53.937,IM-01,im01.energyBudget,Good,1500,
99,2026-09-15 23:37:53.937,IM-01,im01.planHours,Good,28800,
100,2026-09-15 23:37:53.937,IM-01,im01.ratedPower,Good,45.5,
101,2026-09-15 23:37:53.939,ENV-01,env01.acRunning,Good,True,
102,2026-09-15 23:37:53.939,GW-LINE-B,dry01.setTemp,Good,80,
103,2026-09-15 23:37:53.939,IM-01,im01.clampForceDev,Good,-52,
104,2026-09-15 23:37:53.941,GW-LINE-B,rob01.inPlace,Good,True,
105,2026-09-15 23:37:53.941,ENV-01,env01.tempDeviation,Good,0.2,
106,2026-09-15 23:37:53.941,IM-01,im01.recipeName,Good,PC-ABS-757 ??????,
